,time,load,forecast_load,wind,forecast_wind,solar,forecast_solar,inertia,forecast_other_generation,other_generation
833,2021-02-04 20:00:00,41437.17958,41640.5,9037.032219,9826.4,0.022777941,0.0,212135.0122,31814.1,32400.124583059
834,2021-02-04 21:00:00,40715.68483,40375.5,10251.56236,11404.1,0.022777941,0.0,205610.5779,28971.4,30464.099692058997
835,2021-02-04 22:00:00,39368.36584,39689.3984375,11043.47672,12223.4,0.022777941,0.0,202098.5535,27465.9984375,28324.866342059
836,2021-02-04 23:00:00,37395.57398,38152.0,11306.91294,11997.1,0.022777941,0.0,198199.2566,26154.9,26088.638262058997
837,2021-02-05 00:00:00,35494.69697,35923.3984375,11490.68142,11547.1,0.022777941,0.0,196119.8935,24376.2984375,24003.992772058995
838,2021-02-05 01:00:00,34299.77154,35147.80078125,11285.99627,11094.300000000001,0.022777941,0.0,196145.9452,24053.500781249997,23013.752492059
839,2021-02-05 02:00:00,33677.2731,34236.6015625,10171.91691,9621.4,0.022777941,0.0,196979.3906,24615.2015625,23505.333412058997
840,2021-02-05 03:00:00,33586.83827,34319.5,8763.157938,7989.6,0.022777941,0.0,202161.4311,26329.9,24823.657554059
841,2021-02-05 04:00:00,33914.57121,34472.19921875,7754.259149,7326.6,0.022777941,0.0,214458.7657,27145.59921875,26160.289283059
842,2021-02-05 05:00:00,34893.43631,35239.19921875,7545.282793,6588.0,0.022777941,0.0,226522.1979,28651.19921875,27348.130739058997
843,2021-02-05 06:00:00,37095.30946,37204.80078125,7292.616653,6305.2,0.022777941,0.0,231283.7065,30899.60078125,29802.670029058994
844,2021-02-05 07:00:00,40583.9274,40911.0,6983.62068,5912.3,0.022777941,0.0,233605.7265,34998.7,33600.283942059
845,2021-02-05 08:00:00,42765.19506,42937.8984375,6646.455069,5672.3,25.38122777,44.1,234323.6753,37221.4984375,36093.35876323
846,2021-02-05 09:00:00,43388.75851,42660.1015625,5595.016781,5061.3,1674.923419,1066.1,235756.7488,36532.7015625,36118.81831
847,2021-02-05 10:00:00,43658.20338,42225.6015625,5192.39715,4475.6,4113.949684,3747.1,235677.4377,34002.9015625,34351.856546
848,2021-02-05 11:00:00,43384.58086,41896.8984375,6424.002766,5301.400000000001,4418.731999,4489.8,230712.9211,32105.6984375,32541.846095000004
849,2021-02-05 12:00:00,42709.18967,41521.1015625,6315.257088,5595.7,4415.239046,4473.0,226552.1326,31452.401562500003,31978.693536000002
850,2021-02-05 13:00:00,41945.37931,40463.69921875,5447.227332,5838.0,4335.85605,4626.0,225526.3328,29999.69921875,32162.295927999992
851,2021-02-05 14:00:00,40961.34883,39664.5,4671.475457,5886.0,4299.317872,4752.8,225458.1501,29025.7,31990.555501000003
852,2021-02-05 15:00:00,40020.14646,38788.19921875,3975.024454,4732.1,4338.561453,4541.8,225474.4339,29514.299218750002,31706.560553000003
853,2021-02-05 16:00:00,39479.72128,38000.30078125,3474.064682,3647.8,4429.948752,4561.2,224777.4922,29791.300781249996,31575.707846
854,2021-02-05 17:00:00,39416.38035,38355.0,3438.098677,3776.6,4090.259937,4043.7000000000003,225887.2673,30534.7,31888.021736
